Fecha,Mes,Maquina,Pacas producidas,Horas trabajadas,Tiempo de Paro,Turno INICIO,Turno FINAL
2022-12-15 00:00:00.000,"diciembre","Vinilos_3",72,8,0.25,,
2022-12-15 00:00:00.000,"diciembre","Vinilos_4",86,8,0.25,,
2022-12-14 00:00:00.000,"diciembre","Vinilos_1",40,8,0.25,,
2022-12-12 00:00:00.000,"diciembre","Vinilos_3",80,8,0.25,,
2022-12-11 00:00:00.000,"diciembre","Vinilos_1",40,8,0.25,,
2022-12-11 00:00:00.000,"diciembre","Vinilos_4",34,8,0.25,,
2022-12-10 00:00:00.000,"diciembre","Vinilos_3",80,8,0.25,,
2022-12-07 00:00:00.000,"diciembre","Vinilos_3",53,8,0.25,,
2022-12-05 00:00:00.000,"diciembre","Vinilos_1",36,8,0.25,,
2022-12-04 00:00:00.000,"diciembre","Vinilos_1",31,8,0.25,,
2022-12-04 00:00:00.000,"diciembre","Vinilos_3",67,8,0.25,,
2022-12-01 00:00:00.000,"diciembre","Vinilos_3",57,8,0.25,,
2022-11-30 00:00:00.000,"noviembre","Vinilos_3",61,8,0.25,,
2022-11-29 00:00:00.000,"noviembre","Vinilos_1",126,8,0.25,,
2022-11-29 00:00:00.000,"noviembre","Vinilos_2",155,8,0.25,,
2022-11-28 00:00:00.000,"noviembre","Vinilos_4",41,8,0.25,,
2022-11-26 00:00:00.000,"noviembre","Vinilos_1",74,8,0.25,,
2022-11-26 00:00:00.000,"noviembre","Vinilos_1",66,8,0.25,,
2022-11-24 00:00:00.000,"noviembre","Vinilos_2",150,8,0.25,,
2022-11-15 00:00:00.000,"noviembre","Vinilos_2",94,8,0.25,,
2022-11-14 00:00:00.000,"noviembre","Vinilos_4",58,8,0.25,,
2022-11-12 00:00:00.000,"noviembre","Vinilos_3",44,8,0.25,,
2022-11-11 00:00:00.000,"noviembre","Vinilos_1",49,8,0.25,,
2022-11-09 00:00:00.000,"noviembre","Vinilos_2",90,8,0.25,,
2022-11-08 00:00:00.000,"noviembre","Vinilos_1",34,8,0.25,,
2022-11-08 00:00:00.000,"noviembre","Vinilos_1",31,8,0.25,,
2022-11-06 00:00:00.000,"noviembre","Vinilos_1",36,8,0.25,,
2022-11-05 00:00:00.000,"noviembre","Vinilos_1",21,8,0.25,,
2022-11-04 00:00:00.000,"noviembre","Vinilos_1",24,8,0.25,,
2022-11-04 00:00:00.000,"noviembre","Vinilos_4",55,8,0.25,,
2022-11-03 00:00:00.000,"noviembre","Vinilos_3",58,8,0.25,,
2022-11-01 00:00:00.000,"noviembre","Vinilos_3",55,8,0.25,,
2022-11-01 00:00:00.000,"noviembre","Vinilos_3",59,8,0.25,,
2022-10-31 00:00:00.000,"octubre","Vinilos_3",63,8,0.25,,
2022-10-31 00:00:00.000,"octubre","Vinilos_3",55,8,0.25,,
2022-10-31 00:00:00.000,"octubre","Vinilos_3",57,8,0.25,,
2022-10-30 00:00:00.000,"octubre","Vinilos_4",35,8,0.25,,
2022-10-29 00:00:00.000,"octubre","Vinilos_3",51,8,0.25,,
2022-10-28 00:00:00.000,"octubre","Vinilos_1",48,8,0.25,,
2022-10-27 00:00:00.000,"octubre","Vinilos_1",48,8,0.25,,
2022-10-27 00:00:00.000,"octubre","Vinilos_3",59,8,0.25,,
2022-10-26 00:00:00.000,"octubre","Vinilos_1",45,8,0.25,,
2022-10-26 00:00:00.000,"octubre","Vinilos_3",51,8,0.25,,
2022-10-25 00:00:00.000,"octubre","Vinilos_3",46,8,0.25,,
2022-10-24 00:00:00.000,"octubre","Vinilos_1",36,8,0.25,,
2022-10-23 00:00:00.000,"octubre","Vinilos_1",24,8,0.25,,
2022-10-23 00:00:00.000,"octubre","Vinilos_3",33,8,0.25,,
2022-10-23 00:00:00.000,"octubre","Vinilos_4",34,8,0.25,,
2022-10-23 00:00:00.000,"octubre","Vinilos_4",38,8,0.25,,
2022-10-22 00:00:00.000,"octubre","Vinilos_4",27,8,0.25,,
2022-10-19 00:00:00.000,"octubre","Vinilos_3",38,8,0.25,,
2022-10-17 00:00:00.000,"octubre","Vinilos_1",25,8,0.25,,
2022-10-15 00:00:00.000,"octubre","Vinilos_1",29,8,0.25,,
2022-10-12 00:00:00.000,"octubre","Vinilos_1",33,8,0.25,,
2022-10-12 00:00:00.000,"octubre","Vinilos_2",101,8,0.25,,
2022-10-09 00:00:00.000,"octubre","Vinilos_4",77,8,0.25,,
2022-10-09 00:00:00.000,"octubre","Vinilos_3",62,8,0.25,,
2022-10-08 00:00:00.000,"octubre","Vinilos_2",38,8,0.25,,
2022-10-08 00:00:00.000,"octubre","Vinilos_3",70,8,0.25,,
2022-10-08 00:00:00.000,"octubre","Vinilos_4",55,8,0.25,,
2022-10-07 00:00:00.000,"octubre","Vinilos_2",59,8,0.25,,
2022-10-07 00:00:00.000,"octubre","Vinilos_3",72,8,0.25,,
2022-10-07 00:00:00.000,"octubre","Vinilos_4",60,8,0.25,,
2022-10-07 00:00:00.000,"octubre","Vinilos_4",68,8,0.25,,
2022-10-05 00:00:00.000,"octubre","Vinilos_1",44,8,0.25,,
2022-10-05 00:00:00.000,"octubre","Vinilos_2",83,8,0.25,,
2022-10-04 00:00:00.000,"octubre","Vinilos_1",51,8,0.25,,
2022-10-04 00:00:00.000,"octubre","Vinilos_1",47,8,0.25,,
2022-10-04 00:00:00.000,"octubre","Vinilos_4",78,8,0.25,,
2022-10-04 00:00:00.000,"octubre","Vinilos_4",48,8,0.25,,
2022-10-04 00:00:00.000,"octubre","Vinilos_4",58,8,0.25,,
2022-10-03 00:00:00.000,"octubre","Vinilos_1",47,8,0.25,,
